brand,rev_2021,rev_2022,share_growth_pct,avg_rating
Hion,61,213,452.4,3.04
Miyuki,53,101,201.5,3.21
Natural Armor,74,128,173.7,2.31
The Honey Pot Company,97,157,156.1,3.69
10 Seconds,64,98,142.3,3.92
Gold Bond,140,209,136.2,3.32
Systane,64,86,112.6,4.29
BIZ,80,105,107.7,4.63
Faraone4w,173,209,91.1,4.11
KneeRover,77,89,82.9,4.21
Vicorrect,173,199,82.0,4.38
A+D,71,77,71.6,4.58
WyFun,55,59,69.7,4.05
ItAll,50,53,67.7,4.35
Honoson,91,96,66.9,2.72
US Organic,243,255,66.0,4.3
SURPOWER,50,52,64.5,4.42
MURAM,53,55,64.2,2.74
Polar Teeth Whitening,92,93,59.9,3.16
Pure Inventions,70,69,56.0,4.23
VITALINA,100,98,55.0,3.27
Bacophy,81,78,52.4,4.34
Kirkland Signature,88,84,51.0,4.41
Nature's MACE,374,354,49.8,2.74
EPSOM-IT,86,81,49.0,4.14
Henry,150,141,48.7,3.88
Body Linen,74,68,45.4,4.57
Ulla,70,64,44.7,3.85
Carlson,191,172,42.5,4.66
Deke Home,91,81,40.8,3.8
smokebuddy,76,67,39.5,4.32
OCuSOFT,92,81,39.3,4.2
Yoobure,231,201,37.7,3.72
Stardrops,127,110,37.0,4.04
Avon,110,93,33.8,4.28
ASUTRA,132,111,33.0,4.68
Bath & Body Works,61,50,29.7,4.12
Crisky,118,94,26.0,4.76
NUFR,101,80,25.3,3.51
SHRATE,71,55,22.6,3.41
Pets & Pupps,127,97,20.8,4.56
Sage,67,51,20.4,4.68
Purple,400,303,19.8,4.05
Ancient Minerals,137,102,17.8,4.4
Grandpa Gus's,78,58,17.6,3.44
AMOZA,101,75,17.5,4.63
Dreft,141,104,16.7,4.29
Clear Care,184,133,14.4,4.14
Homedics,260,186,13.2,3.49
Ziploc,72,51,12.1,4.42
Power Swabs,130,90,9.5,2.35
Plasticplace,104,70,6.5,4.31
RapidTac,84,56,5.5,4.25
Essential Depot,77,50,2.7,4.73
The Works,135,86,0.8,3.84
Dixie EMS,180,110,-3.3,4.11
JUNP,948,569,-5.0,4.62
Charmin,394,226,-9.2,4.4
Andaz Press,122,67,-13.1,4.03
Drive Medical,113,61,-14.6,4.41
Cozyhealth,209,98,-25.8,3.38
Gonioa,195,72,-41.6,3.88
Glade,181,63,-44.9,4.08
Fanwer,177,58,-48.2,4.55
GermGuardian,225,72,-49.4,3.84
DB DEGBIT,217,60,-56.3,4.06
Vizuri,273,67,-61.2,3.32
Swift Breeze Fitness,260,58,-64.7,2.29
Craft & Soul,849,103,-80.8,3.85
