brand,reviews,share_pct,avg_rating
Unbranded,13942,2.85,3.71
ASUTRA,3147,0.64,4.68
GermGuardian,2882,0.59,3.84
US Organic,2847,0.58,4.3
Purple,2750,0.56,4.05
Avon,2320,0.47,4.28
Carlson,2300,0.47,4.66
Essential Depot,2187,0.45,4.73
Nerdwax,1990,0.41,3.43
Fitbit,1987,0.41,3.19
Mr. Clean,1925,0.39,4.35
Homedics,1747,0.36,3.49
Sano Naturals,1701,0.35,3.69
Clear Care,1649,0.34,4.14
JUNP,1634,0.33,4.62
Nature's MACE,1527,0.31,2.74
smokebuddy,1524,0.31,4.32
Charmin,1460,0.3,4.4
DownBeats,1348,0.28,4.19
Craft & Soul,1342,0.27,3.85
Pure Acres Farm,1317,0.27,4.74
Eyekepper,1239,0.25,4.17
Dreft,1221,0.25,4.29
Emjoi,1142,0.23,4.45
Andaz Press,1124,0.23,4.03
Utopia Scales,1120,0.23,3.85
Drive Medical,1093,0.22,4.41
CHITRONIC,1071,0.22,3.1
Syntrax,1066,0.22,4.27
Buttonsmith,1032,0.21,4.46
HAARBB,1017,0.21,4.73
Marpac,993,0.2,4.47
Verilux,960,0.2,3.84
Sunbeam,956,0.2,3.22
Apalus,955,0.2,3.75
Youngevity,943,0.19,4.31
DII,931,0.19,3.85
Travelon,922,0.19,3.6
MODERN STEP,875,0.18,4.6
The Pressure Positive Co.,859,0.18,4.68
Julian Bakery,857,0.18,3.28
Sprayzee,856,0.18,4.43
FOOTMATTERS,832,0.17,3.77
PURE PLANT HOME,830,0.17,4.37
Ever Ready First Aid,823,0.17,4.5
Kandoo,816,0.17,3.91
Caleb Treeze,781,0.16,4.65
Plasticplace,766,0.16,4.31
Sunany,742,0.15,4.34
Glade,724,0.15,4.08
