brand,title,rating,review_date
Avon,"Avon SKIN-SO-SOFT Bug Guard PLUS IR3535® Insect Repellent Moisturizing Lotion - SPF 30 Gentle Breeze, 4 oz",4.0,2014-11-25 16:32:31-05
Avon,"Avon SKIN-SO-SOFT Bug Guard PLUS IR3535® Insect Repellent Moisturizing Lotion - SPF 30 Gentle Breeze, 4 oz",5.0,2014-10-19 06:51:58-04
Nature's MACE,"Nature's MACE Cat Repellent 1 Gallon Spray/Treats 3,000 Sq. Ft. / Keep Cat Out of Your Lawn and Garden/Train Your Cat to Stay Out of Bushes/Safe to use Around Children & Plants",2.0,2021-08-17 13:19:07.246-04
Avon,"Avon SKIN-SO-SOFT Bug Guard PLUS IR3535® Insect Repellent Moisturizing Lotion - SPF 30 Gentle Breeze, 4 oz",5.0,2017-03-16 16:47:46-04
Nature's MACE,"Nature's MACE Cat Repellent 1 Gallon Spray/Treats 3,000 Sq. Ft. / Keep Cat Out of Your Lawn and Garden/Train Your Cat to Stay Out of Bushes/Safe to use Around Children & Plants",1.0,2022-03-10 21:51:07.463-05
Nature's MACE,"Nature's MACE Cat Repellent 1 Gallon Spray/Treats 3,000 Sq. Ft. / Keep Cat Out of Your Lawn and Garden/Train Your Cat to Stay Out of Bushes/Safe to use Around Children & Plants",1.0,2020-06-26 10:26:23.774-04
Nature's MACE,"Nature's MACE Cat Repellent 1 Gallon Spray/Treats 3,000 Sq. Ft. / Keep Cat Out of Your Lawn and Garden/Train Your Cat to Stay Out of Bushes/Safe to use Around Children & Plants",1.0,2021-10-03 07:29:40.371-04
Nature's MACE,"Nature's MACE Cat Repellent 1 Gallon Spray/Treats 3,000 Sq. Ft. / Keep Cat Out of Your Lawn and Garden/Train Your Cat to Stay Out of Bushes/Safe to use Around Children & Plants",5.0,2019-03-06 11:06:23.014-05
Nature's MACE,"Nature's MACE Cat Repellent 1 Gallon Spray/Treats 3,000 Sq. Ft. / Keep Cat Out of Your Lawn and Garden/Train Your Cat to Stay Out of Bushes/Safe to use Around Children & Plants",5.0,2018-08-11 13:33:44.648-04
Nature's MACE,"Nature's MACE Cat Repellent 1 Gallon Spray/Treats 3,000 Sq. Ft. / Keep Cat Out of Your Lawn and Garden/Train Your Cat to Stay Out of Bushes/Safe to use Around Children & Plants",3.0,2021-09-16 18:27:10.733-04
Nature's MACE,"Nature's MACE Cat Repellent 1 Gallon Spray/Treats 3,000 Sq. Ft. / Keep Cat Out of Your Lawn and Garden/Train Your Cat to Stay Out of Bushes/Safe to use Around Children & Plants",1.0,2022-03-27 21:09:33.995-04
Nature's MACE,"Nature's MACE Cat Repellent 1 Gallon Spray/Treats 3,000 Sq. Ft. / Keep Cat Out of Your Lawn and Garden/Train Your Cat to Stay Out of Bushes/Safe to use Around Children & Plants",5.0,2021-07-11 17:56:22.408-04
Nature's MACE,"Nature's MACE Cat Repellent 1 Gallon Spray/Treats 3,000 Sq. Ft. / Keep Cat Out of Your Lawn and Garden/Train Your Cat to Stay Out of Bushes/Safe to use Around Children & Plants",1.0,2022-07-20 13:58:45.761-04
Nature's MACE,"Nature's MACE Cat Repellent 1 Gallon Spray/Treats 3,000 Sq. Ft. / Keep Cat Out of Your Lawn and Garden/Train Your Cat to Stay Out of Bushes/Safe to use Around Children & Plants",5.0,2023-03-10 13:43:16.282-05
Nature's MACE,"Nature's MACE Cat Repellent 1 Gallon Spray/Treats 3,000 Sq. Ft. / Keep Cat Out of Your Lawn and Garden/Train Your Cat to Stay Out of Bushes/Safe to use Around Children & Plants",5.0,2022-04-04 16:31:23.384-04
Nature's MACE,"Nature's MACE Cat Repellent 1 Gallon Spray/Treats 3,000 Sq. Ft. / Keep Cat Out of Your Lawn and Garden/Train Your Cat to Stay Out of Bushes/Safe to use Around Children & Plants",1.0,2018-11-29 19:35:00.782-05
Nature's MACE,"Nature's MACE Cat Repellent 1 Gallon Spray/Treats 3,000 Sq. Ft. / Keep Cat Out of Your Lawn and Garden/Train Your Cat to Stay Out of Bushes/Safe to use Around Children & Plants",1.0,2021-06-12 14:39:27.056-04
Nature's MACE,"Nature's MACE Cat Repellent 1 Gallon Spray/Treats 3,000 Sq. Ft. / Keep Cat Out of Your Lawn and Garden/Train Your Cat to Stay Out of Bushes/Safe to use Around Children & Plants",5.0,2018-09-11 15:22:00.182-04
Nature's MACE,"Nature's MACE Cat Repellent 1 Gallon Spray/Treats 3,000 Sq. Ft. / Keep Cat Out of Your Lawn and Garden/Train Your Cat to Stay Out of Bushes/Safe to use Around Children & Plants",1.0,2021-06-17 22:36:57.126-04
Nature's MACE,"Nature's MACE Cat Repellent 1 Gallon Spray/Treats 3,000 Sq. Ft. / Keep Cat Out of Your Lawn and Garden/Train Your Cat to Stay Out of Bushes/Safe to use Around Children & Plants",1.0,2022-08-04 10:17:51.493-04
Nature's MACE,"Nature's MACE Cat Repellent 1 Gallon Spray/Treats 3,000 Sq. Ft. / Keep Cat Out of Your Lawn and Garden/Train Your Cat to Stay Out of Bushes/Safe to use Around Children & Plants",3.0,2019-04-17 07:06:21.439-04
